Date,Gross Domestic Product (Billions),Inflation,Real Gross Domestic Product - 2017 Dollars (Billions),Unemployment Rate,Net Exports (Billions),Real Disposable Personal Income - 2017 Dollars (Billions),Personal Savings Rate,Federal Government Debt (Billions),Government Welfare and Social Expenditures,Highest Individual Income Tax Rate,Real Median Household Income - 2023 Dollars (Thousands),Real Median Personal Income - 2023 Dollars (Thousands),Federal Funds Rate,Government Total Expenditures,Weekly Earnings,1-Year Treasury Rate,5-Year Treasury Rate,10-Year Treasury Rate,Defense Expenditures,Industrial Production Index,Total Factor Productivity,Lowest Individual Income Tax Rate,Federal Minimum Wage,Real Gross National Income - 2017 Dollars (Billions),Real Priavte Domestic Investment - 2017 Dollars (Billions)
1913-01-01,,,,,,,,,,7.0,,,,,,,,,,,,1.0,,,
1914-01-01,,,,,,,,,,7.0,,,,,,,,,,,,1.0,,,
1915-01-01,,,,,,,,,,7.0,,,,,,,,,,,,1.0,,,
1916-01-01,,,,,,,,,,15.0,,,,,,,,,,,,2.0,,,
1917-01-01,,,,,,,,,,67.0,,,,,,,,,,,,2.0,,,
1918-01-01,,,,,,,,,,77.0,,,,,,,,,,,,6.0,,,
1919-01-01,,,,,,,,,,73.0,,,,,,,,,,4.9252,,4.0,,,
1920-01-01,,,,,,,,,,73.0,,,,,,,,,,5.1604,,4.0,,,
1921-01-01,,,,,,,,,,73.0,,,,,,,,,,3.9666,,4.0,,,
1922-01-01,,,,,,,,,,58.0,,,,,,,,,,5.0528,,4.0,,,
1923-01-01,,,,,,,,,,43.5,,,,,,,,,,6.0204,,3.0,,,
1924-01-01,,,,,,,,,,46.0,,,,,,,,,,5.6397,,1.5,,,
1925-01-01,,,,,,,,,,25.0,,,,,,,,,,6.2086,,1.125,,,
1926-01-01,,,,,,,,,,25.0,,,,,,,,,,6.5826,,1.125,,,
1927-01-01,,,,,,,,,,25.0,,,,,,,,,,6.5826,,1.125,,,
1928-01-01,,,,,,,,,,25.0,,,,,,,,,,6.8446,,1.125,,,
1929-01-01,,,,,0.383,950.936,4.7,,,24.0,,,,,,,,,,7.5905,,0.375,,1194.27,125.432
1930-01-01,,,,,0.323,890.81,4.5,,,25.0,,,,,,,,,,6.3138,,1.125,,1105.958,85.428
1931-01-01,,,,,0.001,860.569,4.4,,,25.0,,,,,,,,,,5.2253,,1.125,,1019.3,55.534
1932-01-01,,,,,0.043,747.988,-0.2,,,63.0,,,,,,,,,,4.092,,4.0,,891.714,20.483
1933-01-01,,,,,0.058,726.384,-0.7,,,63.0,,,,,,,,,,4.8244,,4.0,,875.875,27.705
1934-01-01,,,,,0.322,796.159,1.7,,,63.0,,,,,,,,,,5.2544,,4.0,,972.754,45.824
1935-01-01,,,,,-0.213,873.196,5.1,,,63.0,,,,,,,,,,6.0652,,4.0,,1069.011,79.731
1936-01-01,,,,,-0.147,983.222,7.1,,,79.0,,,,,,,,,,7.1649,,4.0,,1184.755,100.814
1937-01-01,,,,,0.078,1016.529,6.7,,,79.0,,,,,,,,,,7.8436,,4.0,,1265.007,124.152
1938-01-01,,,,,0.966,960.749,2.9,,,79.0,,,,,,,,,,6.1951,,4.0,,1213.473,85.42
1939-01-01,,,,,0.833,1041.136,5.4,48.2,,79.0,,,,,,,,,,7.6173,,4.0,,1302.775,107.44
1940-01-01,,,,,1.471,1112.211,6.8,50.7,,81.1,,,,,,,,,,8.7977,,4.4,,1420.834,146.341
1941-01-01,,,,,1.033,1287.542,13.9,57.5,,81.0,,,,,,,,,,11.1024,,10.0,,1686.699,179.121
1942-01-01,,,,,-0.252,1459.713,26.2,79.2,,88.0,,,,,,,,,,12.7329,,19.0,,2019.809,99.748
1943-01-01,,,,,-2.246,1529.938,27.7,142.6,,88.0,,,,,,,,,,15.4587,,19.0,,2370.203,62.225
1944-01-01,,,,,-2.024,1577.573,27.9,204.1,,94.0,,,,,,,,,,16.6345,,23.0,,2507.172,74.271
1945-01-01,,,,,-0.766,1559.736,22.5,260.1,,94.0,,,,,,,,,,14.2783,,23.0,,2467.85,95.58
1946-01-01,,,,,7.182,1541.974,11.8,271.0,,86.45,,,,,,,,,,12.3029,,19.0,,2209.521,229.561
1947-01-01,249.616,,2184.614,,10.807,1479.335,6.3,257.1,,86.45,,,,,,,,,,13.8349,,19.0,,2174.192,220.953
1948-01-01,274.468,,2274.627,3.8,5.487,1557.182,8.8,252.0,,82.13,,,,,,,,,,14.4194,43.2963935779054,16.6,,2293.883,278.472
1949-01-01,272.475,,2261.928,6.1,5.235,1569.851,7.0,252.6,,82.13,,,,,,,,,,13.6266,43.420425161026,16.6,,2263.374,215.348
1950-01-01,299.827,,2458.532,5.2,0.738,1714.921,9.3,256.9,,84.36,,,,,,,,,,15.7722,46.5234511511708,17.4,,2465.723,299.986
1951-01-01,346.913,,2656.32,3.3,2.513,1772.64,10.9,255.3,,91.0,,,,,,,,,,17.1071,47.6309208757446,20.4,,2650.958,300.709
1952-01-01,367.341,,2764.803,3.0,1.164,1834.273,11.1,259.1,,92.0,,,,,,,,,,17.7634,48.445395032469,22.2,,2766.954,276.147
1953-01-01,389.218,,2894.412,2.9,-0.701,1922.73,11.0,266.0,,92.0,,,,,,,,,,19.2617,49.7038619961651,22.2,,2887.331,291.663
1954-01-01,390.549,,2877.708,5.6,0.404,1950.196,10.3,270.8,,91.0,,,,,,,,,,18.218,49.6677981580979,20.0,,2878.556,280.194
1955-01-01,425.48,,3083.026,4.4,0.478,2080.001,9.7,274.4,,91.0,,,1.79,,,,,,,20.5406,51.7823546180217,20.0,,3092.33,344.968
1956-01-01,449.353,,3148.765,4.1,2.361,2179.508,11.1,272.7,,91.0,,,2.73,,,,,,,21.4455,51.4199058337717,20.0,,3189.9,344.022
1957-01-01,474.04,,3215.065,4.3,4.075,2236.047,11.2,272.3,,91.0,,,3.11,,,,,,,21.7255,52.1828306766327,20.0,,3245.689,331.145
1958-01-01,481.229,,3191.216,6.8,0.538,2259.441,11.4,279.7,,91.0,,,1.57,,,,,,,20.3435,52.383466113787,20.0,,3211.665,307.153
